timestamp,current_speed_ms
2018-04-05T00:17:30Z,1.806
2018-04-05T00:32:30Z,1.618
2018-04-05T00:47:30Z,1.358
2018-04-05T01:02:30Z,1.043
2018-04-05T01:17:30Z,0.701
2018-04-05T01:32:30Z,0.34
2018-04-05T01:47:30Z,0.328
2018-04-05T02:02:30Z,0.94
2018-04-05T02:17:30Z,1.424
2018-04-05T02:32:30Z,1.773
2018-04-05T02:47:30Z,2.294
2018-04-05T03:02:30Z,2.531
2018-04-05T03:17:30Z,3.098
2018-04-05T03:32:30Z,3.439
2018-04-05T03:47:30Z,3.605
2018-04-05T04:02:30Z,3.821
2018-04-05T04:17:30Z,3.892
2018-04-05T04:32:30Z,3.92
2018-04-05T04:47:30Z,4.04
2018-04-05T05:02:30Z,4.082
2018-04-05T05:17:30Z,3.912
2018-04-05T05:32:30Z,3.825
2018-04-05T05:47:30Z,3.788
2018-04-05T06:02:30Z,3.431
2018-04-05T06:17:30Z,2.953
2018-04-05T06:32:30Z,2.869
2018-04-05T06:47:30Z,2.278
2018-04-05T07:02:30Z,2.269
2018-04-05T07:17:30Z,1.807
2018-04-05T07:32:30Z,1.61
2018-04-05T07:47:30Z,1.021
2018-04-05T08:02:30Z,0.47
2018-04-05T08:17:30Z,0.735
2018-04-05T08:32:30Z,1.891
2018-04-05T08:47:30Z,2.899
2018-04-05T09:02:30Z,2.402
2018-04-05T09:17:30Z,2.363
2018-04-05T09:32:30Z,2.906
2018-04-05T09:47:30Z,2.77
2018-04-05T10:02:30Z,2.812
2018-04-05T10:17:30Z,2.858
2018-04-05T10:32:30Z,3.05
2018-04-05T10:47:30Z,2.994
2018-04-05T11:02:30Z,2.938
2018-04-05T11:17:30Z,2.821
2018-04-05T11:32:30Z,2.755
2018-04-05T11:47:30Z,2.494
2018-04-05T12:02:30Z,2.37
2018-04-05T12:17:30Z,2.205
2018-04-05T12:32:30Z,2.003
2018-04-05T12:47:30Z,1.809
2018-04-05T13:02:30Z,1.566
2018-04-05T13:17:30Z,1.379
2018-04-05T13:32:30Z,1.105
2018-04-05T13:47:30Z,0.714
2018-04-05T14:02:30Z,0.313
2018-04-05T14:17:30Z,0.207
2018-04-05T14:32:30Z,0.853
2018-04-05T14:47:30Z,1.299
2018-04-05T15:02:30Z,1.732
2018-04-05T15:17:30Z,2.092
2018-04-05T15:32:30Z,2.477
2018-04-05T15:47:30Z,3.113
2018-04-05T16:02:30Z,3.374
2018-04-05T16:17:30Z,3.623
2018-04-05T16:32:30Z,3.759
2018-04-05T16:47:30Z,4.036
2018-04-05T17:02:30Z,3.902
2018-04-05T17:17:30Z,3.838
2018-04-05T17:32:30Z,4.081
2018-04-05T17:47:30Z,3.889
2018-04-05T18:02:30Z,3.667
2018-04-05T18:17:30Z,3.397
2018-04-05T18:32:30Z,3.196
2018-04-05T18:47:30Z,2.965
2018-04-05T19:02:30Z,2.611
2018-04-05T19:17:30Z,2.547
2018-04-05T19:32:30Z,2.12
2018-04-05T19:47:30Z,1.699
2018-04-05T20:02:30Z,1.36
2018-04-05T20:17:30Z,0.958
2018-04-05T20:32:30Z,0.291
2018-04-05T20:47:30Z,0.733
2018-04-05T21:02:30Z,1.998
2018-04-05T21:17:30Z,2.969
2018-04-05T21:32:30Z,2.371
2018-04-05T21:47:30Z,2.42
2018-04-05T22:02:30Z,2.682
2018-04-05T22:17:30Z,2.967
2018-04-05T22:32:30Z,2.789
2018-04-05T22:47:30Z,2.924
2018-04-05T23:02:30Z,3.022
2018-04-05T23:17:30Z,2.838
2018-04-05T23:32:30Z,2.705
2018-04-05T23:47:30Z,2.605
2018-04-06T00:02:30Z,2.512
2018-04-06T00:17:30Z,2.314
2018-04-06T00:32:30Z,2.162
2018-04-06T00:47:30Z,1.968
2018-04-06T01:02:30Z,1.697
2018-04-06T01:17:30Z,1.54
2018-04-06T01:32:30Z,1.262
2018-04-06T01:47:30Z,0.978
2018-04-06T02:02:30Z,0.59
2018-04-06T02:17:30Z,0.212
2018-04-06T02:32:30Z,0.423
2018-04-06T02:47:30Z,0.879
2018-04-06T03:02:30Z,1.192
2018-04-06T03:17:30Z,1.444
2018-04-06T03:32:30Z,2.106
2018-04-06T03:47:30Z,2.254
2018-04-06T04:02:30Z,2.678
2018-04-06T04:17:30Z,2.981
2018-04-06T04:32:30Z,3.527
2018-04-06T04:47:30Z,3.791
2018-04-06T05:02:30Z,3.614
2018-04-06T05:17:30Z,3.775
2018-04-06T05:32:30Z,3.735
